date(shamsi),number of buy,number of sell,avg price buy,avg price sell
1398/07/21,65,0,23000,0
1398/08/01,173,0,2160,0
1398/11/08,50,0,14000,0
1398/11/16,38,0,29500,0
1398/11/21,369,0,5625,0
1398/12/14,420,0,3400,0
1398/12/14,21,0,19900,0
1398/12/17,1337,0,4380,0
1398/12/21,201,0,13120,0
1399/01/20,811,0,12000,0
1399/01/27,3636,0,8600,0
1399/02/10,14,0,12507,0
1399/02/31,13,0,40353,0
1399/03/07,57,0,65119,0
1399/04/04,228,0,4100,0
1399/04/11,300,0,15750,0
1399/04/11,16247,0,30590,0
1399/04/11,30832,0,16120,0
1399/04/15,0,6242,0,32360
1399/04/15,0,63,0,32360
1399/04/15,0,11926,0,16670
1399/04/15,0,119,0,16670
1399/04/17,4199,0,94687,0
1399/04/18,74,0,3200,0
1399/04/22,0,9,0,100446
1399/04/22,0,769,0,100446
1399/04/22,0,36,0,100446
1399/04/22,0,51,0,100446
1399/04/22,0,2090,0,33830
1399/04/22,0,18787,0,18540
1399/04/24,0,1655,0,92130
1399/04/24,0,100,0,92130
1399/04/24,0,80,0,92130
1399/04/24,0,231,0,92130
1399/04/24,0,1268,0,92130
1399/04/24,586,0,36700,0
1399/04/24,7539,0,36700,0
1399/04/25,6,0,25000,0
1399/05/01,48,0,15500,0
1399/05/04,0,3000,0,36520
1399/05/04,0,910,0,36520
1399/05/04,0,150,0,36520
1399/05/04,0,500,0,36520
1399/05/04,0,2251,0,36520
1399/05/04,0,530,0,36530
1399/05/04,0,1139,0,36530
1399/05/04,0,7497,0,36530
1399/05/08,50,0,24000,0
1399/05/08,32,0,39750,0
1399/05/15,160,0,10400,0
1399/05/15,15,0,6300,0
1399/05/22,670,0,2200,0
1399/05/22,7,0,21000,0
1399/05/29,9,0,6000,0
1399/06/12,17,0,18500,0
1399/06/19,863,0,1750,0
1399/07/02,1100,0,10100,0
1399/07/22,0,1100,0,14900
1399/09/01,8362,0,237730,0
1399/09/01,10142,0,23780,0
1399/09/01,2829,0,23780,0
1399/09/01,1088,0,23780,0
1399/09/01,19,0,23780,0
1399/09/01,4,0,23780,0
1399/09/01,3000,0,24270,0
1399/09/01,1750,0,24300,0
1399/09/01,5830,0,24300,0
1399/09/01,309,0,24100,0
1399/09/01,360,0,24100,0
1399/09/01,600,0,24100,0
1399/09/01,1100,0,24100,0
1399/09/01,600,0,24100,0
1399/09/01,2000,0,24100,0
1399/09/01,882,0,24100,0
1399/09/01,4200,0,24100,0
1399/09/01,3000,0,24100,0
1399/09/01,61949,0,24100,0
1399/09/01,0,2595,0,22950
1399/09/01,0,500,0,22950
1399/09/01,0,6819,0,22950
1399/09/01,0,10307,0,22910
1399/09/01,0,20000,0,22910
1399/09/01,0,348,0,22910
1399/09/01,0,55,0,22890
1399/09/01,0,622,0,22890
1399/09/01,0,435,0,22890
1399/09/01,0,4000,0,22890
1399/09/01,0,448,0,22890
1399/09/01,0,1200,0,22890
1399/09/01,0,4352,0,22890
1399/09/01,0,500,0,22890
1399/09/01,0,400,0,22890
1399/09/01,0,9445,0,22890
1399/09/01,0,627,0,22880
1399/09/01,0,8000,0,22880
1399/09/01,0,250,0,22880
1399/09/01,0,1000,0,22880
1399/09/01,0,259,0,22880
1399/09/01,0,1000,0,22880
1399/09/01,0,261,0,22880
1399/09/01,0,1000,0,22880
1399/09/01,0,500,0,22880
1399/09/01,0,2000,0,22880
1399/09/01,0,250,0,22880
1399/09/01,0,1000,0,22880
1399/09/01,0,500,0,22880
1399/09/01,0,17417,0,22880
1399/09/01,0,2177,0,22880
1399/09/01,0,500,0,22880
1399/09/01,0,500,0,22880
1399/09/01,0,395,0,22880
1399/09/03,0,1000,0,235900
1399/09/03,0,214,0,235000
1399/09/03,0,1000,0,234000
1399/09/03,0,1000,0,234900
1399/09/03,0,786,0,235000
1399/09/03,0,25,0,230990
1399/09/03,0,85,0,230990
1399/09/03,0,1000,0,235000
1399/09/03,0,1000,0,236800
1399/09/03,0,1000,0,237800
1399/09/03,0,55,0,237000
1399/09/03,0,945,0,237000
1399/09/03,0,252,0,237800
1399/09/03,180427,0,6435,0
1399/09/03,892,0,6435,0
1399/09/03,13927,0,6435,0
1399/09/04,0,17,0,23840
1399/09/04,0,6,0,36099
1399/09/04,3069,0,13695,0
1399/09/04,5429,0,13695,0
1399/09/04,950,0,13695,0
1399/09/04,4331,0,13695,0
1399/09/04,8345,0,13695,0
1399/09/04,367,0,13695,0
1399/09/04,1767,0,13695,0
1399/09/04,50000,0,13695,0
1399/09/04,30000,0,13695,0
1399/09/04,700,0,13695,0
1399/09/04,1000,0,13695,0
1399/09/04,7000,0,13695,0
1399/09/04,395,0,13695,0
1399/09/04,6511,0,13695,0
1399/09/04,7367,0,13695,0
1399/09/04,9000,0,13695,0
1399/09/04,5120,0,13695,0
1399/09/04,590,0,13695,0
1399/09/04,443,0,13695,0
1399/09/08,0,16825,0,5881
1399/09/08,0,3175,0,5881
1399/09/08,0,320,0,5880
1399/09/08,0,2000,0,5880
1399/09/08,0,3817,0,5880
1399/09/08,0,3000,0,5880
1399/09/08,0,3000,0,5880
1399/09/08,0,900,0,5880
1399/09/08,0,5000,0,5880
1399/09/08,0,1963,0,5880
1399/09/08,0,1551,0,5876
1399/09/08,0,48449,0,5875
1399/09/08,0,50000,0,5875
1399/09/08,0,1425,0,5874
1399/09/08,0,900,0,5874
1399/09/08,0,1000,0,5874
1399/09/08,0,1734,0,5874
1399/09/08,0,2546,0,5874
1399/09/08,0,1357,0,5874
1399/09/08,0,3000,0,5874
1399/09/08,0,8257,0,5874
1399/09/08,0,17986,0,5874
1399/09/08,0,1000,0,5874
1399/09/08,0,7470,0,5874
1399/09/08,0,1000,0,5874
1399/09/08,0,7571,0,5874
1399/09/08,0,50215,0,16039
1399/09/08,0,412,0,16039
1399/09/08,0,1925,0,16039
1399/09/08,0,10000,0,16039
1399/09/08,0,28106,0,16039
1399/09/08,0,5000,0,16039
1399/09/08,0,10000,0,16039
1399/09/08,0,3000,0,16039
1399/09/08,0,4008,0,16039
1399/09/08,0,10000,0,16039
1399/09/08,0,8000,0,16039
1399/09/08,0,5591,0,16039
1399/09/08,0,6127,0,16039
