date(shamsi),number of buy,number of sell,avg price buy,avg price sell
1399/05/01,48,0,15500,0
1399/07/20,0,48,0,24330
1398/09/12,2500,0,16050,0
1398/09/12,500,0,16060,0
1398/09/12,13472,0,16090,0
1398/09/12,10000,0,16099,0
1398/09/12,1500,0,16100,0
1398/09/12,100,0,16100,0
1398/09/12,20000,0,16100,0
1398/09/12,100,0,16100,0
1398/09/12,5000,0,16100,0
1398/09/12,3000,0,16120,0
1398/09/12,549,0,16120,0
1398/09/12,100,0,16198,0
1398/09/12,1000,0,16200,0
1398/09/12,1000,0,16200,0
1398/09/12,1999,0,16200,0
1398/09/12,500,0,16200,0
1398/09/12,338,0,16200,0
1398/09/12,5000,0,16200,0
1398/09/12,5000,0,16200,0
1398/09/12,215,0,16200,0
1398/09/12,10000,0,16200,0
1398/09/12,18127,0,16230,0
1399/02/21,0,10000,0,32201
1399/02/21,0,9241,0,32200
1399/02/21,0,3081,0,32200
1399/02/21,0,1600,0,32200
1399/02/21,0,160,0,32101
1399/02/21,0,2000,0,32101
1399/02/21,0,250,0,32101
1399/02/21,0,847,0,32101
1399/02/21,0,340,0,32101
1399/02/21,0,1000,0,32101
1399/02/21,0,500,0,32101
1399/02/21,0,3000,0,32101
1399/02/21,0,5000,0,32101
1399/02/21,0,200,0,32101
1399/02/21,0,264,0,32101
1399/02/21,0,200,0,32101
1399/02/21,0,1000,0,32101
1399/02/21,0,186,0,32101
1399/02/21,0,45000,0,32101
1399/02/21,0,15383,0,32101
1399/02/21,0,748,0,32101
1399/03/21,37729,0,16143,0
1399/03/21,500,0,16143,0
1399/03/21,61771,0,16143,0
1399/07/01,0,1700,0,19180
1399/07/01,0,2291,0,19170
1399/07/01,0,724,0,19170
1399/07/01,0,311,0,19170
1399/07/01,0,1559,0,19170
1399/07/01,0,300,0,19170
1399/07/01,0,3222,0,19170
1399/07/01,0,900,0,19170
1399/07/01,0,463,0,19170
1399/07/01,0,2000,0,19170
1399/07/01,0,1670,0,19170
1399/07/01,0,500,0,19170
1399/07/01,0,300,0,19170
1399/07/01,0,754,0,19170
1399/07/01,0,285,0,19170
1399/07/01,0,2598,0,19170
1399/07/01,0,2000,0,19170
1399/07/01,0,270,0,19170
1399/07/01,0,500,0,19170
1399/07/01,0,1000,0,19170
1399/07/01,0,26653,0,19170
1399/07/01,0,1000,0,19680
1399/07/01,0,49000,0,19680
1399/05/15,160,0,10400,0
1399/07/22,0,160,0,13130
1399/09/25,176,0,53510,0
1399/09/25,95,0,53510,0
1399/09/25,95,0,53510,0
1399/09/25,116,0,53510,0
1399/09/25,100,0,53510,0
1399/09/25,130,0,53510,0
1399/09/25,315,0,53510,0
1399/09/25,394,0,53510,0
1399/09/25,270,0,53510,0
1399/09/25,1000,0,53510,0
1399/09/25,444,0,53510,0
1399/09/25,500,0,53510,0
1399/09/25,1,0,53510,0
1399/09/25,1000,0,53510,0
1399/09/25,921,0,53510,0
1399/09/25,162,0,53510,0
1399/09/25,100,0,53510,0
1399/09/25,325,0,53510,0
1399/09/25,170,0,53510,0
1399/09/25,125,0,53510,0
1399/09/25,400,0,53510,0
1399/09/25,120,0,53510,0
1399/09/25,3000,0,53510,0
1399/09/25,6791,0,53510,0
1399/09/25,100,0,53510,0
1399/09/25,95,0,53510,0
1399/09/25,918,0,53510,0
1399/09/25,455,0,53510,0
1399/09/25,3790,0,53510,0
1399/09/25,221,0,53510,0
1399/09/25,2301,0,53510,0
1399/09/25,1500,0,53510,0
1399/09/25,400,0,53510,0
1399/09/25,200,0,53510,0
1399/09/25,120,0,53510,0
1399/09/25,200,0,53510,0
1399/09/25,140,0,53510,0
1399/09/25,73,0,53510,0
1399/09/25,3831,0,53510,0
1399/09/25,95,0,53510,0
1399/09/25,1009,0,53510,0
1399/09/25,226,0,53510,0
1399/09/25,25,0,53510,0
1399/09/25,300,0,53510,0
1399/09/25,757,0,53510,0
1399/09/25,193,0,53510,0
1399/09/25,1000,0,53510,0
1399/09/25,130,0,53510,0
