date(shamsi),number of buy,number of sell,avg price buy,avg price sell
1399/05/01,48,0,15500,0
1399/07/20,0,48,0,24310
1399/05/15,161,0,10400,0
1399/07/22,0,161,0,13410
1400/05/31,1396,0,28330,0
1400/06/02,0,500,0,31220
1400/06/02,0,500,0,31220
1400/06/02,0,200,0,31220
1400/06/02,0,170,0,31220
1400/06/02,0,26,0,31220
1399/09/19,78,0,41430,0
1399/11/04,0,78,0,48680
1399/09/01,4789,0,237730,0
1399/09/01,2000,0,237730,0
1399/09/01,400,0,237730,0
1399/09/01,220,0,237730,0
1399/09/01,96,0,237730,0
1399/09/01,9,0,237730,0
1399/09/01,9,0,237730,0
1399/09/01,3,0,237730,0
1399/09/02,0,1000,0,224970
1399/09/03,0,1000,0,232260
1399/09/03,0,2000,0,239980
1399/09/03,0,800,0,233990
1399/09/03,0,1200,0,233990
1399/09/03,0,1526,0,237000
1399/02/09,11428,0,8700,0
1399/02/09,11500,0,8721,0
1399/02/09,11308,0,8804,0
1399/02/09,11308,0,8803,0
1399/02/09,4703,0,8800,0
1399/02/09,1450,0,8800,0
1399/02/09,1200,0,8800,0
1399/02/09,3958,0,8800,0
1399/02/28,0,15369,0,9017
1399/02/28,0,1600,0,9017
1399/02/28,0,39886,0,9017
1398/12/14,421,0,3400,0
1399/04/16,0,419,0,18240
1399/04/22,0,2,0,17590
1400/06/03,774,0,5692,0
1400/06/03,630,0,5692,0
1400/06/03,1000,0,5729,0
1400/06/03,4000,0,5740,0
1400/06/03,630,0,5740,0
1400/06/03,1000,0,5743,0
1400/06/03,907,0,5740,0
1400/06/03,7120,0,5740,0
1400/06/03,1000,0,5740,0
1400/06/03,1791,0,5744,0
1400/06/03,1500,0,5740,0
1400/06/03,1500,0,5746,0
1400/06/03,1630,0,5740,0
1400/06/03,5260,0,5740,0
1400/06/03,630,0,5747,0
1400/06/03,630,0,5747,0
1400/06/03,1157,0,5747,0
1400/06/03,166,0,5747,0
1400/06/03,834,0,5747,0
1400/06/03,1000,0,5748,0
1400/06/03,2812,0,5748,0
1400/06/16,0,5000,0,6080
1400/06/27,0,5000,0,5060
1400/06/27,0,3934,0,5060
1400/06/27,0,6066,0,5060
1400/06/27,0,4000,0,5120
1400/06/29,0,3000,0,4900
1400/06/29,0,5000,0,4880
1400/06/29,0,3971,0,4880
1399/10/01,55154,0,12430,0
1399/10/01,1893,0,12430,0
1399/10/01,6000,0,12430,0
1399/10/01,44052,0,12430,0
1399/10/09,0,3516,0,12820
1399/10/09,0,700,0,12820
1399/10/09,0,1333,0,12820
1399/10/09,0,2000,0,12820
1399/10/09,0,400,0,12820
1399/10/09,0,1700,0,12820
1399/10/09,0,351,0,12820
1399/10/09,0,10000,0,12810
1399/10/09,0,20000,0,12810
1399/10/09,0,20000,0,12880
1399/10/09,0,3828,0,13200
1399/10/09,0,1709,0,13200
1399/10/09,0,1000,0,13200
1399/10/09,0,13463,0,13200
1399/10/09,0,20000,0,13300
1399/10/09,0,7020,0,13190
1399/10/09,0,79,0,13190
1399/06/19,864,0,1750,0
1399/05/22,670,0,2200,0
1399/07/20,0,670,0,3810
1398/06/20,4044,0,2461,0
1398/09/04,0,2000,0,2481
1398/09/04,0,1970,0,2477
1398/09/04,0,74,0,2477
1398/06/11,3000,0,2246,0
1398/07/02,0,3000,0,2900
1398/09/27,236,0,4200,0
1398/09/27,235,0,4201,0
1398/11/06,0,471,0,5001
1399/04/04,4137,0,12300,0
1399/04/04,900,0,12300,0
1399/04/04,1000,0,12300,0
1399/04/04,400,0,12320,0
1399/04/04,330,0,12320,0
1399/04/04,2050,0,12320,0
1399/04/04,3950,0,12320,0
1399/04/04,4604,0,12320,0
1399/04/04,0,8973,0,12510
1399/04/04,0,3512,0,12180
1399/04/04,0,4886,0,12170
1398/06/09,255,0,12360,0
1398/07/03,0,255,0,14550
1399/08/21,21428,0,21660,0
1399/08/21,5000,0,21660,0
1399/08/21,5432,0,21850,0
1399/08/21,26958,0,21850,0
1399/08/21,750,0,21660,0
1399/08/21,2500,0,21660,0
1399/08/21,322,0,21660,0
1399/08/24,0,484,0,20600
1399/08/24,0,1061,0,20590
1399/08/24,0,1358,0,20590
1399/08/24,0,2419,0,20590
1399/08/27,0,5000,0,18960
1399/08/27,0,1429,0,18740
1399/08/27,0,637,0,18740
1399/08/27,0,10920,0,18740
1399/08/27,0,2000,0,18740
1399/08/27,0,500,0,18740
1399/08/27,0,10000,0,18730
1399/08/27,0,5000,0,18740
1399/08/27,0,15854,0,18900
1399/08/27,0,2655,0,18900
1399/08/27,0,3073,0,18900
1398/06/11,1000,0,3498,0
1398/06/23,0,1000,0,3650
1398/06/17,498,0,20000,0
1398/11/15,0,300,0,18492
1398/11/15,0,100,0,18492
1398/11/15,0,98,0,18492
1398/12/21,18626,0,21375,0
1399/01/19,0,2829,0,21494
1399/01/19,0,1868,0,21200
1399/01/19,0,4774,0,21146
1399/01/19,0,302,0,21134
1399/01/19,0,4472,0,21134
1399/01/19,0,3807,0,21140
1399/01/19,0,500,0,21140
1399/01/19,0,105,0,21140
1398/08/20,0,322,0,7100
1398/08/20,0,450,0,7100
1398/08/20,0,14,0,7100
1398/06/23,2721,0,1635,0
1398/08/22,0,2721,0,1630
1398/09/30,787,0,25324,0
1398/10/10,0,64,0,22200
1398/10/10,0,250,0,22200
1398/10/10,0,250,0,22200
1398/10/10,0,223,0,22200
1400/06/10,23838,0,2514,0
1400/06/10,2549,0,2514,0
1400/06/10,18500,0,2514,0
1400/06/10,30000,0,2514,0
1400/06/10,48000,0,2514,0
1400/06/10,40000,0,2514,0
1400/06/10,13022,0,2514,0
1400/06/10,33525,0,2514,0
1400/06/10,31709,0,2514,0
1400/06/27,0,415,0,2460
1400/06/29,0,7800,0,2391
1400/06/29,0,20000,0,2393
1400/06/29,0,10567,0,2400
1400/06/29,0,5000,0,2400
1400/06/29,0,3000,0,2400
1400/06/29,0,10000,0,2400
1400/06/29,0,6433,0,2400
1400/06/29,0,18619,0,2400
1400/06/29,0,5000,0,2400
1400/06/29,0,5000,0,2400
1400/06/29,0,1381,0,2400
1400/06/29,0,5893,0,2394
1400/06/29,0,6900,0,2390
1400/06/29,0,40000,0,2380
1400/06/29,0,9935,0,2360
1400/06/29,0,30065,0,2360
1400/06/29,0,37262,0,2347
1400/06/29,0,17873,0,2346
1399/02/09,37047,0,4614,0
1399/02/09,62953,0,4614,0
1399/02/09,7766,0,4614,0
1399/02/28,0,12285,0,6727
1399/02/28,0,87715,0,6727
1399/02/28,0,7766,0,6727
1399/03/19,6215,0,7335,0
1399/03/19,20933,0,7335,0
1399/03/19,3238,0,7338,0
1399/03/19,4068,0,7339,0
1399/03/20,0,14834,0,6909
1399/03/20,0,4940,0,6909
1399/03/20,0,1000,0,6909
1399/03/20,0,835,0,6909
1399/03/20,0,6060,0,6909
1399/03/20,0,6000,0,6909
1399/03/20,0,785,0,6909
1399/04/17,36,0,271160,0
1399/04/17,0,43,0,270000
1399/06/29,0,40,0,237700
1399/08/27,0,153,0,193830
1398/06/11,1000,0,9195,0
1398/08/11,0,1000,0,12950
1398/06/16,1500,0,5456,0
1398/07/14,104,0,10473,0
1398/07/20,252,0,8885,0
1398/08/29,1856,0,7400,0
1398/08/29,0,3712,0,7400
1398/06/23,130,0,36000,0
1398/09/30,446,0,44650,0
1398/10/18,0,576,0,46657
1398/12/07,1000,0,80000,0
1398/12/07,1913,0,80417,0
1398/12/07,14,0,80418,0
1399/01/05,0,122,0,76500
1399/01/05,0,50,0,76490
1399/01/05,0,1148,0,76490
1399/01/05,0,20,0,77000
1399/01/05,0,831,0,76151
1399/01/05,0,627,0,76151
1399/01/05,0,20,0,76151
1399/01/05,0,109,0,76150
1399/03/07,58,0,65119,0
1399/07/20,0,21,0,179800
1399/07/20,0,37,0,179800
1400/07/10,1024,0,15762,0
1400/07/10,3672,0,15763,0
1400/07/10,3550,0,15764,0
1400/07/10,3548,0,15765,0
1400/07/10,3561,0,15780,0
1400/07/10,3557,0,15782,0
1400/07/10,3571,0,15797,0
1400/07/10,428,0,15799,0
1400/07/10,3019,0,15799,0
1400/07/10,1121,0,15798,0
1400/07/10,2909,0,15799,0
1400/07/10,4886,0,15800,0
1400/07/10,4000,0,15800,0
1400/07/10,3654,0,15800,0
1400/07/10,2000,0,15800,0
1400/07/10,100,0,15799,0
1400/07/10,500,0,15799,0
1400/07/10,333,0,15798,0
1400/07/10,957,0,15759,0
1400/07/10,203,0,15760,0
1400/07/10,957,0,15760,0
1400/07/10,3625,0,15760,0
1400/07/10,3655,0,15776,0
1400/07/10,2454,0,15776,0
1400/07/10,510,0,15777,0
1400/07/20,0,350,0,14891
1400/07/20,0,50000,0,14891
1400/07/20,0,1000,0,14891
1400/07/20,0,4500,0,14891
1400/07/20,0,1333,0,14891
1400/07/20,0,611,0,14891
1398/06/10,100,0,25961,0
1398/06/23,0,100,0,26300
1399/09/03,13686,0,43154,0
1399/09/03,202,0,43154,0
1399/09/03,141,0,43154,0
1399/09/03,592,0,43154,0
1399/09/03,1300,0,43154,0
1399/09/03,872,0,43154,0
1399/09/03,135,0,43154,0
1399/09/03,285,0,43154,0
1399/09/03,70,0,43154,0
1399/09/03,3800,0,43154,0
1399/09/03,2296,0,43154,0
