date(shamsi),number of buy,number of sell,avg price buy,avg price sell
1399/09/19,78,0,41430,0
1399/10/10,0,78,0,58480
1399/06/19,863,0,1750,0
1399/08/10,0,863,0,2610
1399/10/30,4647,0,107600,0
1399/10/30,5000,0,106880,0
1399/10/30,1200,0,106100,0
1399/10/30,45,0,106100,0
1399/10/30,3755,0,106100,0
1399/10/30,63,0,106590,0
1399/10/30,4937,0,106590,0
1399/10/30,0,7968,0,111880
1399/10/30,0,1000,0,111880
1399/10/30,0,353,0,111880
1399/10/30,0,5200,0,111880
1399/10/30,0,4198,0,111880
1399/10/30,0,500,0,111880
1399/10/30,0,428,0,111880
1399/06/12,78,0,18500,0
1399/08/10,0,78,0,24135
1400/08/18,224,0,750000,0
1399/11/11,5968,0,176940,0
1399/12/10,0,5968,0,142525
1399/11/12,100,0,44154,0
1399/11/12,36,0,44154,0
1399/11/12,11,0,44154,0
1399/11/12,0,147,0,44154
1399/11/01,59209,0,69434,0
1399/11/01,230,0,69434,0
1399/11/01,5000,0,69434,0
1399/11/01,430,0,69434,0
1399/11/01,314,0,69434,0
1399/11/01,5000,0,69434,0
1399/11/01,150,0,69434,0
1399/11/01,7,0,69434,0
1399/11/01,871,0,69434,0
1399/11/01,7614,0,69434,0
1399/11/01,129,0,69434,0
1399/11/01,300,0,69434,0
1399/11/01,2,0,69434,0
1399/11/01,490,0,69434,0
1399/11/01,1500,0,69434,0
1399/11/01,210,0,69434,0
1399/11/01,600,0,69434,0
1399/11/01,544,0,69434,0
1399/11/01,1000,0,69434,0
1399/11/01,200,0,69434,0
1399/11/01,142,0,69434,0
1399/11/01,82,0,69434,0
1399/11/01,2,0,69434,0
1399/11/01,5675,0,69434,0
1399/11/01,48,0,69434,0
1399/11/01,30,0,69434,0
1399/11/01,145,0,69434,0
1399/11/01,120,0,69434,0
1399/11/01,278,0,69434,0
1399/11/01,150,0,69434,0
1399/11/01,3524,0,69434,0
1399/11/01,3257,0,69434,0
1399/11/12,0,33000,0,87038
1399/11/12,0,1080,0,84200
1399/11/12,0,366,0,84200
1399/11/12,0,6755,0,82270
1399/11/12,0,192,0,82270
1399/11/12,0,1431,0,82270
1399/11/12,0,2554,0,82270
