GBP-IRR ratio,date,date(shamsi)
"176,570",1/1/2020,1398/10/11
"401,230",1/1/2022,1400/10/11
"493,090",1/1/2023,1401/10/11
"338,620",1/10/2021,1399/10/21
"383,310",1/10/2022,1400/10/20
"496,610",1/10/2023,1401/10/20
"176,380",1/11/2020,1398/10/21
"342,580",1/11/2021,1399/10/22
"382,950",1/11/2022,1400/10/21
"500,670",1/11/2023,1401/10/21
"175,020",1/12/2020,1398/10/22
"336,010",1/12/2021,1399/10/23
"387,280",1/12/2022,1400/10/22
"500,658",1/12/2023,1401/10/22
"176,860",1/13/2020,1398/10/23
"328,250",1/13/2021,1399/10/24
"387,280",1/13/2022,1400/10/23
"176,560",1/14/2020,1398/10/24
"328,250",1/14/2021,1399/10/25
"501,370",1/14/2023,1401/10/24
"177,110",1/15/2020,1398/10/25
"379,670",1/15/2022,1400/10/25
"502,100",1/15/2023,1401/10/25
"176,348",1/16/2020,1398/10/26
"313,390",1/16/2021,1399/10/27
"376,020",1/16/2022,1400/10/26
"514,480",1/16/2023,1401/10/26
"374,900",1/17/2022,1400/10/27
"534,140",1/17/2023,1401/10/27
"175,840",1/18/2020,1398/10/28
"302,270",1/18/2021,1399/10/29
"377,890",1/18/2022,1400/10/28
"528,690",1/18/2023,1401/10/28
"176,340",1/19/2020,1398/10/29
"312,000",1/19/2021,1399/10/30
"378,200",1/19/2022,1400/10/29
"542,239",1/19/2023,1401/10/29
"177,587",1/2/2020,1398/10/12
"354,650",1/2/2021,1399/10/13
"395,090",1/2/2022,1400/10/12
"476,070",1/2/2023,1401/10/12
"176,150",1/20/2020,1398/10/30
"315,750",1/20/2021,1399/11/01
"378,200",1/20/2022,1400/10/30
"177,870",1/21/2020,1398/11/01
"315,750",1/21/2021,1399/11/02
"557,350",1/21/2023,1401/11/01
"178,570",1/22/2020,1398/11/02
"379,790",1/22/2022,1400/11/02
"555,010",1/22/2023,1401/11/02
"177,936",1/23/2020,1398/11/03
"324,090",1/23/2021,1399/11/04
"379,850",1/23/2022,1400/11/03
"537,870",1/23/2023,1401/11/03
"321,720",1/24/2021,1399/11/05
"378,170",1/24/2022,1400/11/04
"540,920",1/24/2023,1401/11/04
"178,290",1/25/2020,1398/11/05
"324,880",1/25/2021,1399/11/06
"380,040",1/25/2022,1400/11/05
"552,380",1/25/2023,1401/11/05
"178,660",1/26/2020,1398/11/06
"329,270",1/26/2021,1399/11/07
"375,100",1/26/2022,1400/11/06
"544,640",1/26/2023,1401/11/06
"179,200",1/27/2020,1398/11/07
"330,110",1/27/2021,1399/11/08
"375,100",1/27/2022,1400/11/07
"179,200",1/28/2020,1398/11/08
"330,110",1/28/2021,1399/11/09
"556,040",1/28/2023,1401/11/08
"377,370",1/29/2022,1400/11/09
"551,670",1/29/2023,1401/11/09
"354,930",1/3/2021,1399/10/14
"394,460",1/3/2022,1400/10/13
"478,240",1/3/2023,1401/10/13
"180,500",1/30/2020,1398/11/10
"338,320",1/30/2021,1399/11/11
"375,140",1/30/2022,1400/11/10
"550,960",1/30/2023,1401/11/10
"332,280",1/31/2021,1399/11/12
"374,350",1/31/2022,1400/11/11
"550,550",1/31/2023,1401/11/11
"182,970",1/4/2020,1398/10/14
"358,470",1/4/2021,1399/10/15
"390,060",1/4/2022,1400/10/14
"479,430",1/4/2023,1401/10/14
"182,700",1/5/2020,1398/10/15
"353,960",1/5/2021,1399/10/16
"390,060",1/5/2022,1400/10/15
"479,430",1/5/2023,1401/10/15
"183,900",1/6/2020,1398/10/16
"349,730",1/6/2021,1399/10/17
"183,080",1/7/2020,1398/10/17
"349,730",1/7/2021,1399/10/18
"496,720",1/7/2023,1401/10/17
"175,270",1/8/2020,1398/10/18
"373,270",1/8/2022,1400/10/18
"496,460",1/8/2023,1401/10/18
"174,979",1/9/2020,1398/10/19
"340,590",1/9/2021,1399/10/20
"379,900",1/9/2022,1400/10/19
"496,563",1/9/2023,1401/10/19
"142,730",10/1/2019,1398/07/09
"387,390",10/1/2020,1399/07/10
"370,590",10/1/2022,1401/07/09
"143,881",10/10/2019,1398/07/18
