date(shamsi),number of buy,number of sell,avg price buy,avg price sell
1398/05/28,117,0,8400,0
1398/06/03,700,0,4900,0
1398/06/09,0,1500,0,2895
1398/06/09,0,500,0,2895
1398/06/09,250,0,11000,0
1398/06/09,300,0,12777,0
1398/06/09,350,0,12358,0
1398/06/10,0,100,0,69754
1398/06/10,0,1000,0,2279
1398/06/10,0,110,0,15770
1398/06/10,0,300,0,15403
1398/06/10,0,300,0,9795
1398/06/10,0,3000,0,1433
1398/06/10,100,0,29250,0
1398/06/10,103,0,25996,0
1398/06/10,150,0,27999,0
1398/06/10,150,0,28101,0
1398/06/10,1500,0,3500,0
1398/06/10,200,0,19990,0
1398/06/10,47,0,25996,0
1398/06/11,1000,0,9100,0
1398/06/11,1500,0,4550,0
1398/06/11,1500,0,8900,0
1398/06/11,2000,0,2245,0
1398/06/11,2000,0,2245,0
1398/06/11,2000,0,5400,0
1398/06/11,2117,0,8900,0
1398/06/11,383,0,8900,0
1398/06/16,0,2000,0,5480
1398/06/16,113,0,31600,0
1398/06/16,113,0,31600,0
1398/06/16,113,0,31600,0
1398/06/16,113,0,31600,0
1398/06/16,48,0,31600,0
1398/06/17,1000,0,18200,0
1398/06/17,1000,0,7125,0
1398/06/17,12,0,20330,0
1398/06/17,1500,0,4416,0
1398/06/17,2000,0,5003,0
1398/06/17,292,0,20700,0
1398/06/17,423,0,20700,0
1398/06/17,471,0,20699,0
1398/06/17,500,0,17860,0
1398/06/17,600,0,1714,0
1398/06/17,72,0,19956,0
1398/06/17,730,0,20700,0
1398/06/17,900,0,11930,0
1398/06/20,1000,0,13700,0
1398/06/20,1000,0,8448,0
1398/06/20,1877,0,5302,0
1398/06/20,30,0,28908,0
1398/06/20,328,0,28910,0
1398/06/20,4100,0,2462,0
1398/06/20,42,0,28908,0
1398/06/20,437,0,22808,0
1398/06/20,506,0,17702,0
1398/06/20,600,0,2461,0
1398/06/20,94,0,17702,0
1398/06/23,0,1500,0,3690
1398/06/23,0,1500,0,4352
1398/06/23,0,300,0,13050
1398/06/23,0,31,0,26550
1398/06/23,0,400,0,8798
1398/06/23,0,53,0,26204
1398/06/23,0,66,0,26550
1398/06/23,0,700,0,5509
1398/06/23,1137,0,4381,0
1398/06/23,156,0,35910,0
1398/06/23,199,0,25500,0
1398/06/23,502,0,13900,0
1398/06/23,5963,0,1669,0
1398/06/23,6124,0,1638,0
1398/06/23,644,0,15480,0
1398/06/23,67,0,35910,0
1398/06/23,905,0,5516,0
1398/06/23,996,0,8000,0
1398/06/24,0,200,0,18390
1398/06/24,0,4000,0,9290
1398/06/24,139,0,35999,0
1398/06/24,21310,0,470,0
1398/06/24,263,0,19000,0
1398/06/26,2361,0,4215,0
1398/06/26,6534,0,1555,0
1398/06/27,10000,0,1538,0
